State,ABBR,Jan2020c,Jan2020u,Feb2020c,Feb2020u,Mar2020c,Mar2020u,Apr2020c,Apr2020u,May2020c,May2020u,Jun2020c,Jun2020u,Jul2020c,Jul2020u,Aug2020c,Aug2020u,Sep2020c,Sep2020u,Oct2020c,Oct2020u,Nov2020c,Nov2020u,Dec2020c,Dec2020u,Jan2021c,Jan2021u,Feb2021c,Feb2021u,Mar2021c,Mar2021u,Apr2021c,Apr2021u,May2021c,May2021u,Jun2021c,Jun2021u,Population
Alabama,AL,44,2.7,56,2.6,3143,2.6,6786,13.2,12037,7.9,25540,7.7,56967,7.4,36567,7.1,26999,6.7,34840,4.7,65369,4.7,123069,4.7,93140,4.3,30094,4,13386,3.8,11871,3.6,8003,3.4,5057,3.3,"4,903,185"
Alaska,AK,0,5,0,5.1,128,5.1,227,11.8,108,11.6,481,11.3,2049,11,2297,7.2,2601,7,7507,6.5,16395,6.5,13978,6.5,6991,6.6,3569,6.6,4207,6.7,4871,6.7,2072,6.6,898,6.6,"731,545"
Arizona,AZ,1,4.8,0,4.9,1288,5,6359,14.2,12288,10.6,59300,10.7,94826,10.4,27856,7,16702,6.9,27495,6.8,80961,6.8,193483,6.8,238290,6.7,58558,6.9,25029,6.7,20061,6.7,18953,6.7,13425,6.8,"7,278,717"
Arkansas,AR,0,3.7,0,3.8,560,3.9,2695,10,3998,8.5,13524,7.8,21734,7.1,18713,6.5,22473,5.9,28493,5.6,45169,5.3,67779,4.9,70130,4.6,27147,4.5,7983,4.4,5327,4.4,5656,4.4,8004,4.4,"3,017,804"
California,CA,3,4.2,389,4.3,16435,4.5,44792,16,70730,15.6,156851,14.1,289052,13.2,159154,12.3,99678,10.6,121089,9.8,374665,8.7,1172005,9.3,948913,9,195116,8.5,82385,8.3,66510,8,39852,7.7,31863,7.7,"39,512,223"
Colorado,CO,0,2.7,0,2.8,2966,4.7,12216,12.1,11196,11.6,6337,11.3,14094,7.4,10615,7.1,13112,7,36814,6.9,125555,6.9,101192,6.9,59324,6.6,34882,6.4,33778,6.4,48885,6.4,32208,6.2,14257,6.2,"5,758,736"
Connecticut,CT,0,3.7,0,3.7,3128,3.8,24572,8.6,14501,11.4,4313,11.4,3296,11.3,3069,8.4,4671,8.3,13657,8.2,46088,8.2,68413,8.2,64315,8.1,29923,8.5,30942,8.3,28345,8.1,8273,8.1,1846,7.9,"3,565,287"
Delaware,DE,0,4.3,0,4.5,414,4.8,4632,13.4,4705,13.3,1977,12.9,3598,8.3,2439,7.9,3141,7.6,4380,5.7,11232,5.8,22329,5.9,20976,6.1,8888,6.3,7193,6.5,9353,6.4,3619,5.9,868,5.8,"973,764"
District of Columbia,DC,0,4.9,0,5,495,5.2,3828,11.1,4478,8.9,1526,8.9,1799,8.9,1866,8.8,1334,8.7,1940,8.8,4286,8.8,7431,8.8,7889,8.4,3726,8.1,3915,7.7,3184,7.5,1234,7.2,382,7,"705,749"
Florida,FL,0,3.3,0,3.3,6490,4.9,27200,14,21074,14.2,95017,11.6,315249,11.5,151599,7.9,81422,7.2,93946,5.8,191373,5.4,317158,5.1,389172,4.8,184454,4.7,145346,4.7,172195,4.8,90155,4.9,50066,5,"21,477,737"
Georgia,GA,0,3.3,2,3.5,4234,3.6,21005,12.5,20371,9.4,36065,8.4,109057,7.6,90035,7,54948,6.5,53276,5.9,82570,5.6,194889,5.3,242993,5.1,97076,4.8,53027,4.5,40639,4.3,23654,4.1,10732,4,"10,617,423"
Hawaii,HI,0,2,0,2.1,283,2.1,324,21.9,37,21.9,264,14.1,1264,14.1,6450,14.1,3858,14.8,2515,14,2713,10.3,3318,10.3,4176,10.3,1687,9.2,2306,9.1,2915,8.5,2341,8,1356,7.7,"1,415,872"
Idaho,ID,0,2.6,0,2.6,525,2.7,1490,11.6,824,8.3,3278,7,14604,5.9,11367,4.9,9960,6,22560,4.8,37090,4.3,39379,3.8,21606,3.5,8457,3.3,9396,3.2,7120,3.1,4422,3,2920,3,"1,787,065"
Illinois,IL,2,3.5,0,3.6,5992,3.7,46924,16.5,67342,15.4,23978,14.2,35880,12,56607,11.1,59038,10.4,120796,8.1,309745,8.1,237085,8,162912,7.7,60395,7.4,57889,7.1,90470,7.1,47131,7.1,9553,7.2,"12,671,821"
Indiana,IN,0,3.2,0,3.2,2159,3.3,15676,16.9,16739,12,11020,10.1,20560,8.6,28042,7.3,25823,6.3,59339,5.6,159628,5,172712,4.6,115569,4.2,35331,4,25339,3.9,32488,3.9,23723,4,9779,4.1,"6,732,219"
Iowa,IA,0,2.8,0,2.9,497,2.9,6648,11.1,12407,8.3,9395,7.1,15635,6.1,20241,5.3,24007,4.7,39136,4.2,101482,3.9,51221,3.7,38578,3.6,17082,3.7,14670,3.7,13843,3.8,6582,3.9,2437,4,"3,155,070"
Kansas,KS,0,3.1,0,3.2,428,3.2,3810,12.6,5481,9,4724,7,13369,6.6,14800,6.2,17137,6.1,25432,4.7,72265,4.7,64987,4.7,52252,3.4,18978,3.8,8709,3.7,6758,3.5,5182,3.5,3794,3.7,"2,913,314"
Kentucky,KY,0,4.1,0,4.2,843,4.2,4206,16.9,5427,10.9,6619,5.7,17392,5.6,20435,5.5,20612,5.5,36953,5.5,77995,5.6,89033,5.6,93683,5.3,38961,5.2,19571,5,16239,4.7,11460,4.5,5530,4.4,"4,467,673"
Louisiana,LA,0,5.1,0,5.2,5237,5.3,22807,13.1,11872,13.1,18179,9.4,58185,9.1,32614,8.2,18564,8,19191,7.9,45765,7.9,82861,7.9,85351,7.6,29474,7.6,14833,7.4,13648,7.2,12836,7.1,9586,6.9,"4,648,794"
Maine,ME,0,3,0,3.1,303,3.1,820,9.1,1226,8.3,945,5.3,643,8.8,611,5.2,883,4.9,1237,4.8,5308,4.9,12225,5,15341,5.2,5221,4.8,6025,4.8,10742,4.8,6289,4.8,1235,4.8,"1,344,212"
Maryland,MD,0,3.4,0,3.5,1660,3.5,21812,9,29855,9,14591,8.6,21447,8.7,19498,8.6,16647,7,20635,6.8,54990,6.8,79084,6.8,75417,6.4,27066,6.2,30226,6.2,35412,6.2,11604,6.1,2410,6.2,"6,045,680"
Massachusetts,MA,0,2.8,1,2.8,6619,2.7,55585,16.4,34760,15.3,6736,14.8,6086,9.8,8997,9.3,11627,8.9,26460,8.5,67556,8.4,149046,8.4,148847,7.8,57123,7,54432,6.7,53393,6.4,18064,5,2929,4.9,"6,892,503"
Michigan,MI,0,3.7,0,3.7,19887,3.7,34478,23.6,43512,20.8,26881,14.1,41093,9,38966,8.5,36646,8.2,66473,8.1,173137,8.2,107516,8.2,63866,5.7,34815,5.2,110205,5.1,157740,4.9,39794,5,6176,5,"9,986,857"
Minnesota,MN,0,3.2,0,3.3,689,3.5,4447,9,20072,11.3,11508,8.9,18472,7.6,20676,6.6,23270,5.8,49338,5.3,170291,5,96539,4.7,46505,4.5,22787,4.4,34044,4.2,56283,4.1,25638,4,3915,4,"5,639,632"
Mississippi,MS,0,5.6,0,5.8,2242,6,6218,15.7,8987,11,15389,9.6,31944,8.5,21714,7.8,15005,7.2,21304,6.9,36049,6.7,63076,6.6,55973,6.4,18619,6.3,9712,6.2,6746,6.2,5132,6.1,4189,6.2,"2,976,149"
Missouri,MO,0,3.6,0,3.6,2558,3.7,6142,12.5,5393,9.6,11267,8.1,30375,6.8,35304,6,46213,5.4,65625,5,135242,4.7,111450,4.4,76800,4.3,24690,4.3,17032,4.2,17582,4.1,14044,4.2,20308,4.3,"6,137,428"
